gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status
M,67.64,Others,68.45,Others,Commerce,80.56,Others,No,65.38,Mkt&HR,71.15,Not Placed
F,53.17,Central,73.61,Central,Arts,69.01,Comm&Mgmt,Yes,83.66,Mkt&HR,53.9,Not Placed
F,85.01,Central,63.35,Others,Science,59.62,Others,No,60.69,Mkt&HR,60.29,Placed
M,66.22,Others,57.23,Others,Arts,54.54,Others,Yes,87.95,Mkt&HR,61.05,Not Placed
M,85.52,Others,53.49,Others,Commerce,83.3,Others,No,66.74,Mkt&HR,58.02,Placed
F,64.32,Central,70.9,Others,Commerce,55.95,Sci&Tech,Yes,66.54,Mkt&Fin,67.26,Placed
F,63.4,Others,81.59,Others,Commerce,73.94,Others,Yes,76.88,Mkt&HR,60.61,Not Placed
F,78.13,Others,62.13,Others,Commerce,62.59,Sci&Tech,No,89.57,Mkt&HR,67.87,Placed
M,57.41,Central,86.07,Others,Science,75.77,Comm&Mgmt,No,62.0,Mkt&HR,52.72,Placed
M,82.77,Central,60.7,Others,Science,68.8,Sci&Tech,No,56.63,Mkt&HR,63.76,Placed
M,61.4,Central,79.7,Others,Arts,79.31,Comm&Mgmt,No,91.1,Mkt&Fin,55.58,Placed
M,60.5,Others,66.53,Others,Commerce,72.18,Others,No,96.43,Mkt&HR,71.39,Not Placed
M,74.39,Central,70.94,Central,Commerce,65.57,Comm&Mgmt,Yes,63.47,Mkt&HR,66.7,Placed
F,66.59,Others,73.57,Others,Commerce,69.96,Comm&Mgmt,No,55.78,Mkt&Fin,54.38,Not Placed
M,66.46,Central,69.83,Central,Science,54.05,Others,Yes,81.02,Mkt&HR,54.37,Placed
F,78.37,Others,65.84,Others,Arts,68.31,Sci&Tech,Yes,74.02,Mkt&HR,62.66,Not Placed
M,65.75,Central,62.69,Others,Arts,67.89,Comm&Mgmt,Yes,87.08,Mkt&Fin,52.29,Placed
M,86.3,Central,76.82,Others,Arts,70.87,Others,No,60.25,Mkt&HR,57.18,Placed
M,60.03,Central,61.68,Others,Commerce,72.95,Sci&Tech,Yes,75.03,Mkt&Fin,61.18,Placed
F,55.57,Central,81.88,Central,Science,72.5,Sci&Tech,Yes,65.33,Mkt&HR,64.58,Not Placed
M,76.94,Others,60.02,Others,Commerce,63.78,Comm&Mgmt,Yes,53.7,Mkt&HR,58.39,Not Placed
F,73.47,Others,74.58,Others,Science,54.9,Comm&Mgmt,No,95.44,Mkt&Fin,57.72,Not Placed
M,64.12,Central,65.44,Others,Arts,61.44,Sci&Tech,No,90.17,Mkt&Fin,72.01,Placed
F,64.42,Others,56.51,Central,Commerce,58.27,Others,No,78.14,Mkt&HR,69.24,Not Placed
F,89.11,Others,61.36,Central,Science,63.49,Comm&Mgmt,No,85.84,Mkt&Fin,56.14,Placed
F,76.04,Central,72.44,Central,Arts,61.43,Others,No,84.99,Mkt&Fin,58.24,Not Placed
F,66.69,Central,64.36,Others,Science,69.88,Sci&Tech,No,78.48,Mkt&HR,58.15,Placed
F,71.6,Central,61.28,Others,Science,56.0,Sci&Tech,No,85.77,Mkt&HR,60.15,Placed
F,71.6,Others,60.28,Others,Commerce,75.9,Others,No,69.52,Mkt&HR,60.43,Placed
F,70.18,Central,91.43,Central,Arts,61.7,Comm&Mgmt,Yes,69.31,Mkt&Fin,60.45,Placed
F,58.18,Others,57.17,Others,Commerce,58.23,Sci&Tech,Yes,92.56,Mkt&Fin,62.31,Not Placed
F,49.94,Others,58.48,Central,Science,74.25,Comm&Mgmt,Yes,60.65,Mkt&HR,56.07,Not Placed
M,90.65,Others,65.38,Others,Arts,70.68,Others,Yes,79.38,Mkt&HR,64.9,Not Placed
M,43.94,Central,87.36,Others,Science,62.61,Sci&Tech,No,93.8,Mkt&Fin,57.82,Not Placed
F,62.22,Central,65.96,Central,Commerce,65.0,Comm&Mgmt,No,86.31,Mkt&HR,67.01,Not Placed
F,71.73,Central,59.91,Others,Arts,63.63,Sci&Tech,No,67.36,Mkt&HR,51.59,Placed
M,61.29,Others,50.83,Central,Science,83.77,Sci&Tech,Yes,74.42,Mkt&Fin,61.85,Placed
F,58.68,Central,58.8,Central,Arts,71.54,Comm&Mgmt,Yes,54.22,Mkt&Fin,69.27,Placed
F,77.45,Central,91.94625000000002,Central,Commerce,71.8,Sci&Tech,Yes,72.95,Mkt&Fin,69.03,Not Placed
M,63.96,Central,64.49,Others,Arts,63.37,Others,No,74.7,Mkt&HR,76.55,Not Placed
M,63.7,Central,61.6,Others,Arts,57.3,Comm&Mgmt,Yes,82.29,Mkt&Fin,73.34,Not Placed
M,50.7,Central,74.62,Central,Commerce,52.76,Comm&Mgmt,Yes,57.51,Mkt&HR,55.27,Placed
M,50.62,Central,66.87,Central,Arts,70.04,Comm&Mgmt,Yes,61.16,Mkt&Fin,60.24,Not Placed
M,55.78,Central,65.24,Central,Arts,53.5,Others,No,82.93,Mkt&HR,60.01,Placed
M,50.16,Central,66.3,Others,Commerce,63.64,Sci&Tech,No,80.66,Mkt&HR,57.33,Placed
M,57.92,Others,66.01,Central,Arts,54.54,Others,Yes,82.24,Mkt&HR,76.94,Not Placed
M,76.01,Central,59.74,Central,Arts,60.53,Comm&Mgmt,No,78.46,Mkt&HR,54.49,Not Placed
M,57.09,Others,73.45,Central,Arts,59.38,Comm&Mgmt,No,77.55,Mkt&Fin,61.19,Placed
M,79.37,Others,55.09,Central,Arts,62.73,Sci&Tech,Yes,75.21,Mkt&Fin,54.71,Placed
F,63.01,Central,64.68,Central,Arts,63.8,Sci&Tech,No,70.06,Mkt&HR,57.88,Not Placed
F,75.63,Others,77.14,Others,Arts,67.15,Sci&Tech,No,68.16,Mkt&Fin,57.46,Placed
M,66.08,Central,68.37,Central,Commerce,67.22,Others,Yes,62.86,Mkt&Fin,68.7,Placed
M,65.31,Others,77.82,Others,Commerce,73.4,Others,No,53.1,Mkt&HR,49.69,Not Placed
M,60.74,Others,57.92,Others,Science,67.52,Others,No,94.0,Mkt&HR,61.67,Not Placed
M,72.95,Central,65.48,Others,Science,78.07,Sci&Tech,Yes,68.72,Mkt&Fin,59.68,Not Placed
M,51.06,Others,76.83,Central,Arts,78.82,Others,Yes,60.67,Mkt&Fin,73.36,Not Placed
M,55.35,Others,63.36,Central,Arts,80.32,Sci&Tech,Yes,85.7,Mkt&Fin,73.06,Placed
M,87.9,Others,59.6,Central,Commerce,71.2,Sci&Tech,No,62.56,Mkt&HR,54.67,Placed
M,59.38,Central,42.29,Central,Commerce,64.95,Comm&Mgmt,No,83.54,Mkt&Fin,61.84,Placed
M,50.3,Central,54.29,Others,Commerce,58.19,Others,No,69.92,Mkt&Fin,62.01,Placed
M,87.33,Central,65.66,Central,Commerce,67.55,Sci&Tech,No,71.97,Mkt&HR,59.23,Not Placed
F,42.64,Others,58.78,Others,Arts,66.71,Comm&Mgmt,No,54.7,Mkt&Fin,62.44,Placed
F,50.77,Central,74.02,Central,Science,59.98,Others,No,59.54,Mkt&Fin,62.59,Placed
M,54.92,Central,74.61,Others,Commerce,64.92,Comm&Mgmt,No,59.16,Mkt&HR,67.33,Not Placed
M,71.16,Others,58.54,Central,Arts,55.62,Sci&Tech,No,62.82,Mkt&HR,56.42,Not Placed
M,65.65,Others,77.9,Others,Commerce,51.7,Others,Yes,54.0,Mkt&Fin,66.21,Placed
F,64.91,Others,64.74,Others,Arts,61.17,Others,Yes,95.9,Mkt&Fin,66.7,Placed
M,50.42,Others,63.38,Others,Arts,70.34,Others,No,86.53,Mkt&HR,52.28,Placed
M,73.7,Central,67.69,Central,Arts,60.71,Sci&Tech,Yes,52.6,Mkt&HR,59.2,Placed
M,78.16,Others,63.04,Central,Arts,84.34,Comm&Mgmt,No,91.16,Mkt&HR,57.03,Not Placed
M,53.98,Others,83.97,Central,Commerce,62.64,Others,Yes,60.17,Mkt&Fin,57.96,Not Placed
M,60.34,Others,72.45,Central,Commerce,67.52,Others,Yes,80.56,Mkt&Fin,52.73,Placed
M,61.1,Others,60.0,Others,Science,62.25,Comm&Mgmt,No,62.72,Mkt&Fin,61.79,Placed
F,77.32,Others,71.13,Others,Commerce,61.63,Comm&Mgmt,No,82.99,Mkt&HR,62.05,Not Placed
M,56.62,Others,60.28,Others,Science,70.55,Sci&Tech,No,70.59,Mkt&Fin,66.94,Not Placed
F,66.0,Central,74.19,Central,Science,58.82,Comm&Mgmt,Yes,70.86,Mkt&Fin,67.63,Placed
F,68.26,Central,54.64,Central,Science,58.26,Comm&Mgmt,No,59.59,Mkt&Fin,62.77,Placed
F,43.07,Central,67.53,Central,Commerce,67.25,Sci&Tech,Yes,61.54,Mkt&Fin,67.74,Not Placed
M,59.53,Others,63.92,Central,Science,77.3,Comm&Mgmt,No,52.87,Mkt&Fin,59.21,Not Placed
M,52.81,Central,66.84,Central,Arts,69.78,Sci&Tech,No,58.56,Mkt&Fin,69.69,Placed
M,50.35,Central,50.06,Others,Arts,74.31,Others,No,89.54,Mkt&Fin,69.44,Not Placed
F,61.13,Others,77.94,Central,Arts,66.51,Comm&Mgmt,No,81.08,Mkt&HR,67.3,Not Placed
F,64.27,Others,67.74,Others,Commerce,66.37,Sci&Tech,No,74.76,Mkt&Fin,59.86,Placed
M,89.51,Others,61.56,Others,Commerce,64.97,Others,Yes,91.9,Mkt&Fin,58.73,Not Placed
F,75.02,Others,63.42,Others,Arts,65.89,Sci&Tech,No,55.18,Mkt&HR,57.79,Not Placed
M,64.81,Central,68.38,Central,Science,55.62,Others,No,58.36,Mkt&HR,56.55,Not Placed
M,60.59,Central,73.88,Others,Science,77.92,Others,Yes,61.44,Mkt&HR,71.96,Placed
M,77.09,Central,45.39,Central,Arts,75.11,Others,No,91.65,Mkt&HR,66.65,Not Placed
M,63.52,Central,44.75,Central,Arts,63.91,Sci&Tech,Yes,54.57,Mkt&Fin,54.76,Placed
F,53.01,Central,62.29,Others,Science,74.99,Others,Yes,75.92,Mkt&Fin,73.52,Placed
M,83.99,Others,82.83,Central,Arts,55.02,Sci&Tech,No,73.74,Mkt&Fin,72.37,Placed
M,71.69,Central,51.63,Central,Commerce,72.11,Comm&Mgmt,Yes,81.56,Mkt&HR,64.23,Not Placed
F,52.98,Central,64.84,Others,Commerce,68.36,Others,Yes,57.19,Mkt&Fin,59.42,Placed
M,57.78,Others,66.02,Others,Commerce,59.6,Sci&Tech,No,62.44,Mkt&HR,54.11,Not Placed
F,62.84,Central,69.65,Central,Arts,67.99,Comm&Mgmt,Yes,46.55,Mkt&Fin,56.5,Not Placed
F,67.41,Central,70.18,Others,Science,62.58,Comm&Mgmt,Yes,88.8,Mkt&HR,56.74,Placed
F,60.58,Others,65.42,Central,Science,74.28,Sci&Tech,Yes,61.18,Mkt&HR,56.23,Placed
M,63.83,Others,66.33,Central,Arts,59.17,Sci&Tech,No,66.06,Mkt&Fin,49.53,Not Placed
F,62.77,Central,81.95,Central,Commerce,66.13,Sci&Tech,No,79.66,Mkt&HR,71.97,Not Placed
F,68.43,Others,51.87,Others,Arts,47.04,Comm&Mgmt,Yes,65.68,Mkt&HR,69.1,Not Placed
M,75.07,Central,67.34,Central,Commerce,73.76,Others,Yes,65.05,Mkt&Fin,64.81,Not Placed
F,52.94,Central,60.83,Others,Arts,70.42,Others,Yes,51.19,Mkt&HR,58.29,Placed
M,72.31,Central,71.11,Central,Arts,66.29,Comm&Mgmt,No,76.72,Mkt&Fin,63.59,Placed
F,62.92,Central,71.68,Others,Commerce,58.38,Sci&Tech,No,58.78,Mkt&HR,70.09,Not Placed
F,46.99,Others,68.98,Others,Science,83.28,Sci&Tech,Yes,77.23,Mkt&Fin,62.65,Not Placed
F,61.83,Central,70.66,Others,Science,69.63,Sci&Tech,Yes,72.41,Mkt&Fin,64.7,Placed
M,70.67,Others,41.89624999999998,Others,Science,53.48,Sci&Tech,Yes,94.8,Mkt&HR,54.75,Placed
F,57.35,Others,72.62,Central,Commerce,51.99,Others,Yes,65.85,Mkt&Fin,67.53,Not Placed
M,60.4,Central,75.89,Central,Science,83.32,Comm&Mgmt,Yes,82.81,Mkt&Fin,67.85,Not Placed
F,63.99,Central,71.26,Others,Arts,65.03,Sci&Tech,Yes,73.58,Mkt&HR,50.62,Not Placed
M,70.78,Others,58.76,Central,Arts,70.69,Others,Yes,50.28,Mkt&HR,57.86,Not Placed
M,57.49,Central,64.28,Central,Science,79.99,Sci&Tech,Yes,56.16,Mkt&HR,67.1,Placed
F,47.73,Others,63.54,Others,Arts,75.95,Others,No,54.82,Mkt&Fin,70.68,Placed
M,82.36,Others,63.28,Central,Commerce,63.84,Comm&Mgmt,Yes,60.8,Mkt&HR,61.58,Not Placed
F,68.79,Central,68.22,Others,Science,61.85,Others,No,59.53,Mkt&Fin,59.39,Not Placed
M,52.57,Others,63.37,Others,Commerce,72.68,Sci&Tech,Yes,57.63,Mkt&Fin,65.56,Not Placed
M,67.21,Others,73.63,Others,Commerce,63.99,Others,Yes,97.22,Mkt&Fin,53.87,Placed
M,64.85,Others,77.32,Central,Arts,44.87125,Others,No,68.13,Mkt&HR,66.51,Placed
F,56.96,Central,65.48,Central,Commerce,50.49,Comm&Mgmt,Yes,94.09,Mkt&Fin,57.28,Not Placed
F,60.83,Central,65.39,Central,Commerce,63.73,Others,Yes,79.63,Mkt&Fin,66.43,Not Placed
M,49.03,Central,60.88,Central,Commerce,60.96,Others,No,81.88,Mkt&HR,73.7,Not Placed
M,63.86,Central,69.78,Central,Science,59.66,Comm&Mgmt,Yes,69.53,Mkt&Fin,54.46,Placed
M,71.77,Central,91.94625000000002,Others,Science,65.66,Comm&Mgmt,No,53.1,Mkt&Fin,65.75,Placed
M,50.94,Central,72.49,Central,Commerce,55.56,Others,Yes,58.68,Mkt&Fin,64.18,Not Placed
M,68.75,Others,64.67,Others,Commerce,70.31,Sci&Tech,No,61.61,Mkt&Fin,80.17875000000001,Not Placed
M,55.71,Others,64.36,Others,Commerce,71.75,Comm&Mgmt,No,55.3,Mkt&HR,63.29,Placed
M,81.95,Others,53.09,Central,Science,84.86,Sci&Tech,No,59.7,Mkt&HR,64.55,Not Placed
M,56.29,Others,65.04,Others,Science,79.13,Comm&Mgmt,Yes,60.54,Mkt&HR,56.71,Not Placed
F,61.19,Others,54.92,Central,Science,61.47,Sci&Tech,Yes,90.58,Mkt&Fin,66.79,Placed
M,57.68,Central,77.25,Others,Commerce,64.22,Sci&Tech,No,62.09,Mkt&HR,69.78,Not Placed
M,66.65,Central,65.79,Central,Arts,54.73,Others,No,64.1,Mkt&HR,55.28,Placed
F,60.68,Others,78.13,Others,Arts,65.98,Comm&Mgmt,No,85.49,Mkt&Fin,64.13,Not Placed
M,77.48,Others,73.31,Central,Arts,57.57,Sci&Tech,No,62.19,Mkt&Fin,62.4,Placed
M,69.84,Central,67.12,Others,Commerce,53.62,Comm&Mgmt,No,68.68,Mkt&Fin,63.59,Not Placed
F,69.37,Others,61.67,Central,Arts,58.6,Others,No,70.89,Mkt&Fin,68.15,Not Placed
M,85.19,Others,83.3,Central,Science,53.91,Others,No,70.95,Mkt&HR,66.82,Placed
M,66.22,Others,49.57,Others,Commerce,77.36,Sci&Tech,No,56.9,Mkt&Fin,60.41,Not Placed
M,76.54,Others,78.51,Others,Arts,70.75,Others,No,92.89,Mkt&HR,64.95,Placed
F,59.43,Others,59.52,Central,Science,83.53,Sci&Tech,Yes,88.78,Mkt&Fin,73.01,Not Placed
F,76.42,Central,91.94625000000002,Others,Commerce,67.12,Comm&Mgmt,No,82.53,Mkt&HR,63.53,Not Placed
M,81.28,Central,68.94,Others,Science,47.24,Others,No,50.63,Mkt&HR,64.02,Placed
F,71.39,Central,54.02,Central,Science,70.36,Others,Yes,61.76,Mkt&HR,68.79,Not Placed
M,58.14,Central,73.1,Central,Science,63.99,Comm&Mgmt,No,47.66,Mkt&HR,62.67,Not Placed
F,67.15,Central,64.26,Others,Science,81.58,Sci&Tech,Yes,86.91,Mkt&HR,58.2,Not Placed
M,57.82,Others,55.79,Others,Commerce,75.94,Comm&Mgmt,No,58.47,Mkt&Fin,58.86,Placed
M,68.03,Others,64.42,Others,Science,71.51,Others,Yes,63.23,Mkt&HR,62.07,Not Placed
F,62.9,Others,59.88,Others,Commerce,59.62,Others,Yes,93.97,Mkt&Fin,78.62,Not Placed
M,74.05,Others,71.68,Central,Science,70.56,Others,No,68.22,Mkt&HR,70.41,Placed
M,84.38,Central,62.76,Central,Commerce,52.2,Others,Yes,71.03,Mkt&HR,67.62,Placed
M,63.17,Central,73.94,Others,Commerce,51.37,Others,Yes,56.16,Mkt&HR,50.74,Not Placed
M,72.26,Others,73.05,Central,Science,58.75,Sci&Tech,No,92.16,Mkt&Fin,71.49,Placed
M,77.24,Central,79.5,Central,Commerce,67.53,Comm&Mgmt,Yes,59.79,Mkt&Fin,71.64,Placed
M,74.4,Others,75.67,Central,Arts,71.94,Others,No,53.03,Mkt&Fin,65.25,Placed
F,88.85,Others,69.75,Others,Commerce,57.05,Sci&Tech,Yes,82.87,Mkt&HR,55.42,Placed
F,58.06,Others,46.91,Central,Arts,63.75,Others,Yes,97.59,Mkt&HR,54.28,Not Placed
M,75.82,Central,72.36,Others,Commerce,55.83,Comm&Mgmt,Yes,74.45,Mkt&Fin,60.94,Not Placed
M,77.79,Central,74.62,Central,Science,67.45,Sci&Tech,Yes,81.41,Mkt&Fin,56.62,Placed
M,67.07,Central,60.33,Others,Science,74.22,Comm&Mgmt,No,62.32,Mkt&Fin,57.86,Not Placed
M,67.53,Others,62.3,Others,Arts,70.56,Comm&Mgmt,No,88.42,Mkt&Fin,54.18,Placed
M,71.67,Central,77.82,Central,Commerce,70.84,Others,Yes,87.6,Mkt&HR,52.72,Placed
M,61.83,Others,58.09,Central,Science,68.82,Comm&Mgmt,Yes,86.92,Mkt&HR,61.0,Placed
M,61.86,Central,69.53,Others,Commerce,71.21,Others,Yes,69.52,Mkt&Fin,53.1,Not Placed
M,75.38,Others,79.61,Central,Commerce,72.81,Comm&Mgmt,No,83.16,Mkt&HR,57.27,Placed
F,85.35,Central,79.4,Others,Commerce,52.11,Others,No,97.02,Mkt&HR,77.08,Placed
F,66.9,Others,70.39,Others,Commerce,50.59,Comm&Mgmt,Yes,85.92,Mkt&HR,64.73,Placed
M,53.79,Others,58.92,Others,Arts,71.7,Comm&Mgmt,No,55.53,Mkt&HR,66.27,Placed
M,52.36,Central,61.48,Others,Science,58.88,Sci&Tech,No,93.31,Mkt&HR,60.05,Placed
F,80.51,Central,61.96,Others,Arts,52.39,Sci&Tech,Yes,81.99,Mkt&Fin,57.27,Placed
F,78.36,Central,62.33,Central,Commerce,81.14,Sci&Tech,Yes,53.05,Mkt&HR,61.47,Not Placed
F,70.97,Central,61.14,Others,Arts,81.84,Sci&Tech,No,88.49,Mkt&HR,57.11,Placed
M,79.73,Central,67.78,Central,Commerce,68.32,Sci&Tech,No,56.57,Mkt&Fin,53.79,Not Placed
M,77.34,Central,71.84,Others,Commerce,53.01,Sci&Tech,No,79.56,Mkt&HR,60.66,Placed
F,69.39,Others,68.03,Others,Arts,77.99,Sci&Tech,No,73.77,Mkt&Fin,61.55,Placed
F,50.73,Others,75.04,Others,Commerce,78.3,Comm&Mgmt,No,59.55,Mkt&Fin,62.86,Not Placed
F,54.01,Central,80.66,Central,Science,68.9,Others,Yes,66.61,Mkt&HR,62.89,Not Placed
F,67.77,Others,65.08,Others,Science,53.01,Comm&Mgmt,No,72.29,Mkt&Fin,59.63,Not Placed
F,54.41,Others,69.17,Others,Arts,78.17,Sci&Tech,Yes,78.0,Mkt&HR,58.82,Placed
M,81.82,Central,88.53,Central,Arts,65.75,Others,No,55.74,Mkt&Fin,50.93,Placed
F,54.35,Others,90.84,Central,Arts,63.4,Comm&Mgmt,No,66.44,Mkt&Fin,67.71,Placed
F,62.84,Central,70.56,Central,Commerce,68.25,Sci&Tech,No,98.27,Mkt&Fin,57.11,Not Placed
F,82.38,Others,59.39,Central,Arts,52.33,Others,Yes,59.82,Mkt&Fin,56.59,Not Placed
M,49.2,Others,76.6,Central,Commerce,72.9,Comm&Mgmt,Yes,82.44,Mkt&HR,69.27,Not Placed
F,83.89,Central,62.1,Central,Arts,61.69,Sci&Tech,Yes,61.66,Mkt&HR,72.56,Placed
M,69.32,Central,67.34,Central,Commerce,76.68,Others,Yes,76.41,Mkt&HR,45.28,Placed
F,70.62,Central,69.36,Others,Arts,71.72,Comm&Mgmt,Yes,63.53,Mkt&Fin,64.5,Not Placed
F,71.34,Central,53.27,Others,Science,68.54,Sci&Tech,Yes,64.48,Mkt&HR,72.03,Not Placed
F,66.12,Others,70.85,Others,Arts,64.88,Comm&Mgmt,No,68.95,Mkt&HR,60.96,Placed
M,84.17,Others,91.94625000000002,Central,Commerce,53.8,Sci&Tech,No,58.95,Mkt&Fin,69.13,Placed
M,49.65,Others,60.78,Central,Arts,60.12,Sci&Tech,Yes,49.1,Mkt&HR,60.49,Not Placed
M,70.29,Central,87.1,Others,Commerce,55.05,Comm&Mgmt,No,88.6,Mkt&HR,65.62,Placed
M,80.88,Others,59.08,Others,Arts,49.16,Others,No,55.11,Mkt&Fin,58.34,Not Placed
F,63.92,Central,52.49,Central,Commerce,65.43,Sci&Tech,No,56.47,Mkt&HR,64.33,Placed
M,72.85,Others,61.42,Central,Arts,61.64,Comm&Mgmt,Yes,82.79,Mkt&Fin,66.67,Not Placed
F,79.13,Others,64.71,Central,Commerce,64.82,Sci&Tech,No,64.07,Mkt&HR,49.68,Placed
M,58.64,Others,66.18,Others,Commerce,74.91,Sci&Tech,No,49.09,Mkt&Fin,70.94,Placed
M,79.33,Others,61.62,Central,Arts,60.33,Sci&Tech,No,57.25,Mkt&Fin,68.42,Not Placed
M,59.61,Others,61.88,Central,Science,57.31,Others,Yes,47.48,Mkt&HR,66.34,Not Placed
F,48.48,Others,64.32,Central,Science,62.57,Comm&Mgmt,Yes,83.53,Mkt&Fin,60.1,Placed
M,60.56,Central,48.57,Others,Science,58.24,Sci&Tech,Yes,83.66,Mkt&HR,60.24,Not Placed
F,64.71,Others,47.48,Others,Arts,83.31,Comm&Mgmt,Yes,91.76,Mkt&Fin,63.73,Not Placed
M,71.75,Others,62.39,Others,Science,56.72,Others,No,69.46,Mkt&Fin,55.76,Not Placed
M,80.99,Central,62.03,Central,Commerce,63.73,Sci&Tech,No,96.52,Mkt&Fin,56.97,Not Placed
M,62.79,Others,61.79,Others,Science,65.18,Comm&Mgmt,Yes,66.59,Mkt&HR,67.9,Placed
F,84.81,Central,72.51,Central,Arts,72.07,Comm&Mgmt,Yes,86.38,Mkt&Fin,58.59,Placed
M,64.13,Central,91.94625000000002,Central,Science,62.91,Comm&Mgmt,No,80.21,Mkt&Fin,63.39,Not Placed
M,60.71,Others,74.49,Central,Arts,60.77,Others,Yes,76.51,Mkt&Fin,68.74,Not Placed
F,61.33,Central,82.92,Central,Arts,59.88,Others,Yes,58.7,Mkt&HR,60.49,Placed
F,70.28,Others,60.68,Central,Science,56.05,Sci&Tech,No,72.47,Mkt&Fin,63.42,Placed
F,58.52,Others,43.11,Others,Arts,80.29,Others,Yes,95.91,Mkt&HR,65.47,Not Placed
F,66.09,Others,62.6,Others,Commerce,66.04,Others,No,99.28,Mkt&Fin,51.7,Not Placed
M,48.8,Central,47.73,Others,Science,78.67,Comm&Mgmt,Yes,61.39,Mkt&HR,56.5,Not Placed
M,71.29,Others,60.38,Central,Science,60.19,Sci&Tech,Yes,89.6,Mkt&HR,48.28,Not Placed
M,75.81,Others,64.69,Others,Arts,74.97,Comm&Mgmt,Yes,60.18,Mkt&HR,51.77,Not Placed
M,87.53,Central,58.77,Others,Commerce,68.66,Comm&Mgmt,No,82.95,Mkt&Fin,57.98,Not Placed
F,46.77,Central,91.94625000000002,Central,Arts,83.81,Sci&Tech,Yes,57.6,Mkt&HR,69.36,Placed
F,50.94,Central,64.32,Central,Commerce,59.21,Others,No,67.5,Mkt&HR,60.17,Not Placed
F,85.13,Central,41.89624999999998,Others,Commerce,66.83,Others,No,72.59,Mkt&Fin,60.02,Not Placed
M,66.39,Others,73.25,Central,Commerce,57.01,Others,Yes,66.05,Mkt&HR,62.87,Placed
M,71.9,Central,54.39,Central,Commerce,66.4,Sci&Tech,No,67.3,Mkt&HR,48.92,Not Placed
F,69.45,Others,88.46,Central,Arts,73.48,Others,No,81.5,Mkt&HR,65.58,Not Placed
M,65.12,Central,66.29,Others,Science,63.51,Others,No,55.91,Mkt&HR,65.44,Not Placed
M,59.01,Central,64.44,Central,Science,87.23,Sci&Tech,No,62.12,Mkt&Fin,66.4,Not Placed
M,69.56,Others,70.68,Central,Science,46.92,Sci&Tech,No,59.89,Mkt&HR,64.97,Placed
M,57.48,Others,71.57,Central,Commerce,78.35,Others,Yes,81.1,Mkt&Fin,55.19,Placed
M,64.29,Central,73.37,Others,Science,69.31,Comm&Mgmt,Yes,70.31,Mkt&Fin,68.1,Placed
M,51.54,Others,59.08,Others,Arts,62.61,Sci&Tech,No,65.47,Mkt&HR,60.8,Placed
M,87.4,Others,65.67,Central,Commerce,75.81,Sci&Tech,No,70.51,Mkt&Fin,70.72,Placed
M,76.17,Others,69.63,Others,Arts,66.26,Others,Yes,88.05,Mkt&Fin,73.53,Placed
M,64.47,Central,74.07,Others,Commerce,80.32,Comm&Mgmt,No,55.36,Mkt&Fin,62.36,Placed
F,62.93,Others,75.18,Others,Commerce,61.76,Comm&Mgmt,No,96.7,Mkt&HR,59.56,Placed
F,82.98,Others,71.93,Others,Science,84.01,Others,No,84.75,Mkt&Fin,52.89,Not Placed
M,68.57,Others,55.98,Others,Science,60.12,Comm&Mgmt,No,71.5,Mkt&Fin,62.44,Not Placed
F,85.48,Central,63.58,Others,Arts,68.15,Others,No,56.1,Mkt&Fin,60.34,Placed
F,64.64,Others,86.54,Others,Arts,65.36,Comm&Mgmt,No,53.72,Mkt&Fin,66.88,Not Placed
M,70.08,Central,78.34,Central,Arts,75.11,Sci&Tech,No,60.33,Mkt&Fin,62.65,Not Placed
F,83.01,Central,74.3,Others,Commerce,73.93,Others,Yes,81.97,Mkt&HR,67.81,Not Placed
F,72.99,Others,48.49,Others,Science,63.11,Others,Yes,67.39,Mkt&HR,49.44,Placed
F,49.99,Central,48.21,Central,Commerce,67.79,Others,No,57.07,Mkt&Fin,57.55,Not Placed
F,81.82,Others,67.15,Others,Commerce,71.51,Others,No,54.87,Mkt&HR,64.55,Placed
F,64.68,Others,66.31,Others,Science,57.15,Comm&Mgmt,Yes,61.92,Mkt&Fin,52.98,Not Placed
M,53.31,Others,76.23,Others,Science,59.23,Others,No,79.99,Mkt&HR,66.36,Not Placed
M,49.92,Central,41.89624999999998,Others,Arts,61.21,Comm&Mgmt,Yes,52.09,Mkt&HR,63.1,Not Placed
M,64.43,Central,50.85,Others,Commerce,76.46,Others,Yes,76.93,Mkt&Fin,60.62,Placed
M,61.09,Central,66.01,Central,Science,56.8,Comm&Mgmt,Yes,69.83,Mkt&Fin,61.36,Not Placed
F,83.38,Others,84.04,Central,Commerce,57.47,Comm&Mgmt,Yes,85.92,Mkt&Fin,72.33,Placed
M,74.88,Central,51.54,Others,Arts,59.87,Sci&Tech,Yes,90.12,Mkt&HR,64.53,Not Placed
F,60.01,Others,65.31,Central,Commerce,70.95,Sci&Tech,No,66.14,Mkt&Fin,61.04,Placed
M,73.5,Others,72.53,Others,Arts,60.13,Comm&Mgmt,No,70.03,Mkt&Fin,62.24,Placed
M,81.77,Others,81.14,Central,Commerce,67.24,Comm&Mgmt,Yes,60.89,Mkt&Fin,65.03,Placed
F,81.26,Central,70.33,Central,Science,75.12,Sci&Tech,No,57.46,Mkt&Fin,61.19,Placed
